monitor_id;Subdomain;Domain;group;event;survival_time;sender;group_short
4;subdomain1;domain1;U1;0;37;U1;no tool
5;subdomain1;domain2;U1_diff;1;21;U1;tool diff
6;subdomain1;domain3;U1;0;37;U1;no tool
7;subdomain1;domain4;U2_same;1;0;U2;tool same
9;subdomain1;domain5;U2_same;0;37;U2;tool same
12;subdomain1;domain6;U2_diff;1;0;U2;tool diff
15;subdomain1;domain7;U2;0;37;U2;no tool
16;subdomain1;domain8;U2_same;0;37;U2;tool same
18;subdomain1;domain9;U2;0;37;U2;no tool
19;subdomain1;domain10;U2;0;37;U2;no tool
20;subdomain1;domain11;U1_diff;1;11;U1;tool diff
22;subdomain1;domain12;U1_diff;1;11;U1;tool diff
28;subdomain1;domain13;U1_diff;1;0;U1;tool diff
29;subdomain1;domain14;U2_diff;1;0;U2;tool diff
30;subdomain1;domain15;U2_same;0;37;U2;tool same
31;subdomain1;domain16;U2_same;0;37;U2;tool same
32;subdomain1;domain17;U1_diff;0;37;U1;tool diff
34;subdomain1;domain18;U2_same;0;37;U2;tool same
35;subdomain1;domain19;U1_diff;0;37;U1;tool diff
37;subdomain1;domain20;U1_same;0;37;U1;tool same
38;subdomain1;domain21;U2_same;0;37;U2;tool same
41;subdomain1;domain22;U1_diff;1;0;U1;tool diff
42;subdomain1;domain23;U2;1;0;U2;no tool
44;subdomain1;domain24;U1_diff;0;37;U1;tool diff
45;subdomain1;domain25;U1_diff;1;1;U1;tool diff
46;subdomain1;domain26;U2;0;37;U2;no tool
47;subdomain1;domain27;U1_diff;1;0;U1;tool diff
48;subdomain1;domain28;U2;0;37;U2;no tool
49;subdomain1;domain29;U1;0;37;U1;no tool
51;subdomain1;domain30;U2;1;0;U2;no tool
55;subdomain1;domain31;U2_diff;1;2;U2;tool diff
56;subdomain1;domain32;U1_diff;0;37;U1;tool diff
57;subdomain1;domain33;U1_same;1;0;U1;tool same
59;subdomain1;domain34;U1;0;37;U1;no tool
61;subdomain1;domain35;U2_diff;0;37;U2;tool diff
64;subdomain1;domain36;U2;0;37;U2;no tool
66;subdomain1;domain37;U2_diff;0;37;U2;tool diff
68;subdomain1;domain38;U2_diff;0;37;U2;tool diff
69;subdomain1;domain39;U2_same;0;37;U2;tool same
70;subdomain1;domain40;U2_same;0;37;U2;tool same
72;subdomain1;domain41;U2_diff;1;0;U2;tool diff
73;subdomain1;domain42;U1_diff;1;0;U1;tool diff
78;subdomain1;domain43;U1_same;1;0;U1;tool same
79;subdomain1;domain44;U2_diff;0;37;U2;tool diff
81;subdomain1;domain45;U1_diff;1;0;U1;tool diff
83;subdomain1;domain46;U2_same;0;37;U2;tool same
85;subdomain1;domain47;U1;0;37;U1;no tool
87;subdomain1;domain48;U2_same;0;37;U2;tool same
88;subdomain1;domain49;U2_diff;1;4;U2;tool diff
90;subdomain1;domain50;U2;1;4;U2;no tool
91;subdomain1;domain51;U2;0;37;U2;no tool
92;subdomain1;domain52;U1_same;1;4;U1;tool same
93;subdomain1;domain53;U2_diff;1;4;U2;tool diff
94;subdomain1;domain54;U1_same;1;4;U1;tool same
95;subdomain1;domain55;U2;0;37;U2;no tool
96;subdomain1;domain56;U2;1;4;U2;no tool
97;subdomain1;domain57;U1_diff;1;4;U1;tool diff
102;subdomain1;domain58;U1;1;0;U1;no tool
103;subdomain1;domain59;U1_diff;0;37;U1;tool diff
104;subdomain1;domain60;U2;1;0;U2;no tool
108;subdomain1;domain61;U2;0;37;U2;no tool
110;subdomain1;domain62;U1_same;1;6;U1;tool same
111;subdomain1;domain63;U1;1;0;U1;no tool
113;subdomain1;domain64;U2_diff;0;37;U2;tool diff
115;subdomain1;domain65;U2_same;0;37;U2;tool same
116;subdomain1;domain66;U1_same;0;37;U1;tool same
117;subdomain1;domain67;U2;0;37;U2;no tool
119;subdomain1;domain68;U2;0;37;U2;no tool
121;subdomain1;domain69;U1_same;0;37;U1;tool same
124;subdomain1;domain70;U1;0;37;U1;no tool
125;subdomain1;domain71;U1;0;37;U1;no tool
129;subdomain1;domain72;U2_diff;1;0;U2;tool diff
131;subdomain1;domain73;U2_same;0;37;U2;tool same
133;subdomain1;domain74;U2_same;1;0;U2;tool same
134;subdomain1;domain75;U2;0;37;U2;no tool
135;subdomain1;domain76;U2;1;0;U2;no tool
136;subdomain1;domain77;U2;0;37;U2;no tool
137;subdomain1;domain78;U1_same;0;37;U1;tool same
138;subdomain1;domain79;U2;0;37;U2;no tool
139;subdomain1;domain80;U2_same;1;0;U2;tool same
140;subdomain1;domain81;U1;0;37;U1;no tool
141;subdomain1;domain82;U1_diff;0;37;U1;tool diff
142;subdomain1;domain83;U1_diff;0;37;U1;tool diff
146;subdomain1;domain84;U1;1;0;U1;no tool
150;subdomain1;domain85;U2_diff;0;37;U2;tool diff
154;subdomain1;domain86;U1_diff;1;0;U1;tool diff
155;subdomain1;domain87;U1;0;37;U1;no tool
160;subdomain1;domain88;U2;0;37;U2;no tool
162;subdomain1;domain89;U1;0;37;U1;no tool
163;subdomain1;domain90;U2_diff;1;2;U2;tool diff
164;subdomain1;domain91;U2_same;0;37;U2;tool same
165;subdomain1;domain92;U1_diff;1;27;U1;tool diff
166;subdomain1;domain93;U1_same;1;4;U1;tool same
167;subdomain1;domain94;U2;0;37;U2;no tool
168;subdomain1;domain95;U1_same;0;37;U1;tool same
169;subdomain1;domain96;U2_diff;0;37;U2;tool diff
170;subdomain1;domain97;U1_same;1;0;U1;tool same
172;subdomain1;domain98;U2_same;0;37;U2;tool same
173;subdomain1;domain99;U1;1;0;U1;no tool
175;subdomain1;domain100;U2_same;1;0;U2;tool same
177;subdomain1;domain101;U1_same;0;37;U1;tool same
179;subdomain1;domain102;U1_diff;0;37;U1;tool diff
181;subdomain1;domain103;U2_same;0;37;U2;tool same
